13.98,14.50,
19.63,18.24,
12.32,11.78,
10.84,11.35,
16.25,16.03,
13.45,12.97,
13.40,12.78,
16.60,16.82,
8.76,8.48,
10.80,9.76,
6.15,6.03,
9.68,9.47,
8.38,8.61,
9.16,8.05,
7.52,7.73,
17.84,20.70,
15.83,14.81,
14.98,10.64,
12.87,12.94,
2.06,4.50,
6.71,7.60,
13.69,14.79,
9.11,12.13,
14.06,13.55,
11.58,11.95,
21.65,19.41,
13.46,13.01,
8.68,6.94,
15.76,14.99,
9.00,11.16,
7.21,7.95,
15.29,16.29,
10.89,9.44,
14.09,13.60,
11.64,13.76,
10.01,8.72,
12.48,13.47,
10.80,9.06,
15.21,18.13,
13.47,11.49,
11.28,10.86,
9.83,10.47,
10.14,11.39,
9.97,9.90,
15.78,16.98,
9.03,11.10,
15.41,15.13,
17.41,19.77,
10.61,10.28,
10.26,10.56,
21.40,19.22,
14.89,12.45,
15.07,16.20,
20.98,20.35,
